@relation GOLDSTANDARD_AROUSAL

@attribute Instance_name string
@attribute frameTime numeric
@attribute GoldStandard numeric


@data

train_2,0,0.011747
train_2,0.04,0.011747
train_2,0.08,0.011747
train_2,0.12,0.011747
train_2,0.16,0.011747
train_2,0.2,0.011747
train_2,0.24,0.011747
train_2,0.28,0.011747
train_2,0.32,0.011747
train_2,0.36,0.011747
train_2,0.4,0.011747
train_2,0.44,0.011747
train_2,0.48,0.011747
train_2,0.52,0.011747
train_2,0.56,0.011747
train_2,0.6,0.011747
train_2,0.64,0.011747
train_2,0.68,0.011747
train_2,0.72,0.011747
train_2,0.76,0.01508
train_2,0.8,0.016747
train_2,0.84,0.018414
train_2,0.88,0.018414
train_2,0.92,0.018414
train_2,0.96,0.02508
train_2,1,0.026747
train_2,1.04,0.026747
train_2,1.08,0.02508
train_2,1.12,0.021747
train_2,1.16,0.021747
train_2,1.2,0.021747
train_2,1.24,0.021747
train_2,1.28,0.02008
train_2,1.32,0.02008
train_2,1.36,0.02008
train_2,1.4,0.021747
train_2,1.44,0.02008
train_2,1.48,0.02008
train_2,1.52,0.023414
train_2,1.56,0.023414
train_2,1.6,0.023414
train_2,1.64,0.023414
train_2,1.68,0.02508
train_2,1.72,0.026747
train_2,1.76,0.031747
train_2,1.8,0.033414
train_2,1.84,0.03508
train_2,1.88,0.036747
train_2,1.92,0.036747
train_2,1.96,0.04008
train_2,2,0.04008
train_2,2.04,0.041747
train_2,2.08,0.046747
train_2,2.12,0.06008
train_2,2.16,0.073414
train_2,2.2,0.08508
train_2,2.24,0.098414
train_2,2.28,0.11008
train_2,2.32,0.11841
train_2,2.36,0.14508
train_2,2.4,0.15508
train_2,2.44,0.15675
train_2,2.48,0.16008
train_2,2.52,0.15841
train_2,2.56,0.16341
train_2,2.6,0.15841
train_2,2.64,0.15175
train_2,2.68,0.15175
train_2,2.72,0.14508
train_2,2.76,0.14008
train_2,2.8,0.14175
train_2,2.84,0.13675
train_2,2.88,0.13175
train_2,2.92,0.13008
train_2,2.96,0.13175
train_2,3,0.13008
train_2,3.04,0.13008
train_2,3.08,0.13175
train_2,3.12,0.13341
train_2,3.16,0.13508
train_2,3.2,0.13675
train_2,3.24,0.13675
train_2,3.28,0.14175
train_2,3.32,0.14341
train_2,3.36,0.14508
train_2,3.4,0.15008
train_2,3.44,0.15175
train_2,3.48,0.15341
train_2,3.52,0.15675
train_2,3.56,0.16175
train_2,3.6,0.17008
train_2,3.64,0.17175
train_2,3.68,0.17341
train_2,3.72,0.17508
train_2,3.76,0.18008
train_2,3.8,0.18675
train_2,3.84,0.18675
train_2,3.88,0.18841
train_2,3.92,0.18841
train_2,3.96,0.19175
train_2,4,0.19341
train_2,4.04,0.19508
train_2,4.08,0.19675
train_2,4.12,0.20008
train_2,4.16,0.20175
train_2,4.2,0.20341
train_2,4.24,0.20508
train_2,4.28,0.20508
train_2,4.32,0.20841
train_2,4.36,0.21008
train_2,4.4,0.21175
train_2,4.44,0.21341
train_2,4.48,0.21508
train_2,4.52,0.21841
train_2,4.56,0.22175
train_2,4.6,0.22341
train_2,4.64,0.22341
train_2,4.68,0.22341
train_2,4.72,0.22508
train_2,4.76,0.22675
train_2,4.8,0.22675
train_2,4.84,0.22675
train_2,4.88,0.22675
train_2,4.92,0.22675
train_2,4.96,0.22675
train_2,5,0.22675
train_2,5.04,0.22675
train_2,5.08,0.22675
train_2,5.12,0.22675
train_2,5.16,0.22841
train_2,5.2,0.22841
train_2,5.24,0.22675
train_2,5.28,0.23008
train_2,5.32,0.23008
train_2,5.36,0.23008
train_2,5.4,0.23175
train_2,5.44,0.23175
train_2,5.48,0.23008
train_2,5.52,0.23008
train_2,5.56,0.23175
train_2,5.6,0.23175
train_2,5.64,0.23341
train_2,5.68,0.23508
train_2,5.72,0.23508
train_2,5.76,0.23675
train_2,5.8,0.23841
train_2,5.84,0.24175
train_2,5.88,0.24508
train_2,5.92,0.24508
train_2,5.96,0.24508
train_2,6,0.24508
train_2,6.04,0.24341
train_2,6.08,0.24175
train_2,6.12,0.24008
train_2,6.16,0.24008
train_2,6.2,0.23841
train_2,6.24,0.23841
train_2,6.28,0.23675
train_2,6.32,0.23675
train_2,6.36,0.23508
train_2,6.4,0.23508
train_2,6.44,0.23508
train_2,6.48,0.23008
train_2,6.52,0.23175
train_2,6.56,0.23175
train_2,6.6,0.23175
train_2,6.64,0.23008
train_2,6.68,0.22841
train_2,6.72,0.22675
train_2,6.76,0.22508
train_2,6.8,0.22508
train_2,6.84,0.22508
train_2,6.88,0.22175
train_2,6.92,0.22008
train_2,6.96,0.21841
train_2,7,0.21341
train_2,7.04,0.21175
train_2,7.08,0.21008
train_2,7.12,0.21008
train_2,7.16,0.20675
train_2,7.2,0.20675
train_2,7.24,0.20508
train_2,7.28,0.20008
train_2,7.32,0.19675
train_2,7.36,0.19508
train_2,7.4,0.19508
train_2,7.44,0.19508
train_2,7.48,0.19341
train_2,7.52,0.19341
train_2,7.56,0.19508
train_2,7.6,0.19508
train_2,7.64,0.19675
train_2,7.68,0.19508
train_2,7.72,0.19675
train_2,7.76,0.19841
train_2,7.8,0.19675
train_2,7.84,0.19341
train_2,7.88,0.19008
train_2,7.92,0.18841
train_2,7.96,0.18175
train_2,8,0.18008
train_2,8.04,0.17841
train_2,8.08,0.17841
train_2,8.12,0.17841
train_2,8.16,0.18008
train_2,8.2,0.18008
train_2,8.24,0.18008
train_2,8.28,0.18008
train_2,8.32,0.18341
train_2,8.36,0.18175
train_2,8.4,0.18175
train_2,8.44,0.18175
train_2,8.48,0.18175
train_2,8.52,0.18008
train_2,8.56,0.18008
train_2,8.6,0.18008
train_2,8.64,0.18341
train_2,8.68,0.18341
train_2,8.72,0.18341
train_2,8.76,0.18341
train_2,8.8,0.18175
train_2,8.84,0.18508
train_2,8.88,0.18841
train_2,8.92,0.19008
train_2,8.96,0.19175
train_2,9,0.19175
train_2,9.04,0.19175
train_2,9.08,0.19175
train_2,9.12,0.19341
train_2,9.16,0.19341
train_2,9.2,0.19508
train_2,9.24,0.19508
train_2,9.28,0.19508
train_2,9.32,0.19508
train_2,9.36,0.19508
train_2,9.4,0.19508
train_2,9.44,0.19841
train_2,9.48,0.19841
train_2,9.52,0.20008
train_2,9.56,0.20008
train_2,9.6,0.20175
train_2,9.64,0.20341
train_2,9.68,0.20508
train_2,9.72,0.20675
train_2,9.76,0.20841
train_2,9.8,0.20841
train_2,9.84,0.20841
train_2,9.88,0.21008
train_2,9.92,0.21175
train_2,9.96,0.21175
train_2,10,0.211747
train_2,10.04,0.211747
train_2,10.08,0.213414
train_2,10.12,0.213414
train_2,10.16,0.21508
train_2,10.2,0.216747
train_2,10.24,0.218414
train_2,10.28,0.22008
train_2,10.32,0.223414
train_2,10.36,0.223414
train_2,10.4,0.22508
train_2,10.44,0.22508
train_2,10.48,0.22508
train_2,10.52,0.226747
train_2,10.56,0.228414
train_2,10.6,0.228414
train_2,10.64,0.228414
train_2,10.68,0.23008
train_2,10.72,0.23008
train_2,10.76,0.23008
train_2,10.8,0.233414
train_2,10.84,0.23508
train_2,10.88,0.23508
train_2,10.92,0.236747
train_2,10.96,0.236747
train_2,11,0.238414
train_2,11.04,0.241747
train_2,11.08,0.243414
train_2,11.12,0.243414
train_2,11.16,0.243414
train_2,11.2,0.243414
train_2,11.24,0.243414
train_2,11.28,0.241747
train_2,11.32,0.24008
train_2,11.36,0.24008
train_2,11.4,0.243414
train_2,11.44,0.243414
train_2,11.48,0.241747
train_2,11.52,0.241747
train_2,11.56,0.241747
train_2,11.6,0.241747
train_2,11.64,0.241747
train_2,11.68,0.243414
train_2,11.72,0.243414
train_2,11.76,0.24508
train_2,11.8,0.246747
train_2,11.84,0.248414
train_2,11.88,0.25008
train_2,11.92,0.25008
