@relation FACE_BOUNDING_BOX

@attribute Instance_name string
@attribute frameTime numeric
@attribute top_left_X_coordinate numeric
@attribute top-left-Y-coordinate numeric
@attribute width numeric
@attribute height numeric


@data

train_5,0,556.16,249.91,213.67,190.97
train_5,0.04,553.48,248.77,214.72,196.41
train_5,0.08,552.69,249.24,214.79,196.71
train_5,0.12,553.13,248.76,214.41,195.84
train_5,0.16,553.78,248.5,214.15,197.74
train_5,0.2,554.9,248.35,213.57,199.27
train_5,0.24,553.14,249.27,213.51,198.84
train_5,0.28,555.26,249.08,211.82,198.97
train_5,0.32,553.87,249.45,215.26,198.9
train_5,0.36,554.61,249.43,213.88,197.79
train_5,0.4,554.61,249.72,214.43,197.31
train_5,0.44,555.22,250.01,213.36,199.17
train_5,0.48,554.27,250.17,216.89,198.53
train_5,0.52,555.16,249.71,215.51,198.33
train_5,0.56,555.79,250.1,212.84,198.31
train_5,0.6,554.06,250.59,215.71,198.58
train_5,0.64,554.37,250.39,215.76,196.54
train_5,0.68,553.5,250.63,216.72,197.66
train_5,0.72,554.03,249.87,213.55,198.72
train_5,0.76,554.91,250.65,213.08,198.37
train_5,0.8,554.84,250.06,212.54,200.07
train_5,0.84,553.06,250.64,211.86,200.21
train_5,0.88,553.91,251.21,213.36,198.79
train_5,0.92,552.52,251.44,216.24,197.98
train_5,0.96,552.82,250.56,215.62,200.3
train_5,1,553.28,251.53,213.89,200.96
train_5,1.04,552.27,251.64,215.67,200.55
train_5,1.08,552.62,250.91,214.77,198.98
train_5,1.12,551.77,251.02,216.3,198.78
train_5,1.16,551.57,251.53,218.32,200.23
train_5,1.2,552.77,251.01,213.19,200.78
train_5,1.24,551.77,250.93,216.75,200.15
train_5,1.28,551.93,251.7,217.52,200.02
train_5,1.32,552.61,251.53,216.15,198.94
train_5,1.36,552.49,251.77,216.24,200.9
train_5,1.4,553.05,251.24,215.32,201.49
train_5,1.44,553.18,250.91,213.68,201.29
train_5,1.48,552.5,250.92,216.88,200.68
train_5,1.52,552.95,251.84,216.15,201.49
train_5,1.56,553.16,250.96,215.81,200.01
train_5,1.6,552.19,251.28,215.7,200.76
train_5,1.64,552.43,250.98,215.26,200.85
train_5,1.68,552.18,251.71,214.82,202.01
train_5,1.72,552.03,251.5,214.33,201.33
train_5,1.76,552.86,251.41,214.65,201.04
train_5,1.8,552,250.9,215.41,202.38
train_5,1.84,551.62,248.99,215.41,202.67
train_5,1.88,551.85,250.26,216.81,201.3
train_5,1.92,553.44,249.93,214.69,201.93
train_5,1.96,552.62,249.27,215.92,202.02
train_5,2,553.84,249.01,215.17,203.12
train_5,2.04,552.54,249.05,214.61,201.64
train_5,2.08,553.72,249.14,214.51,201.68
train_5,2.12,553.7,249.17,216,201.8
train_5,2.16,551.84,248.43,215.61,200.53
train_5,2.2,553.04,248.36,215.96,202.07
train_5,2.24,554.3,247.57,215.06,202.66
train_5,2.28,554.24,248.28,215.37,202.41
train_5,2.32,553.54,248.21,216.24,203.36
train_5,2.36,554.39,248.25,214.79,202.55
train_5,2.4,553.15,247.35,217.67,202.04
train_5,2.44,553.09,247.95,216.48,201.26
train_5,2.48,555.04,247.34,212.58,202.44
train_5,2.52,554.34,248.12,213.83,201.23
train_5,2.56,553.97,248.31,214.91,201.27
train_5,2.6,552.97,248.2,215.45,202.34
train_5,2.64,553.09,247.89,215.7,200.89
train_5,2.68,552.56,248.05,215.4,201.03
train_5,2.72,551.6,249.2,215.85,200.29
train_5,2.76,553.09,248.52,214.42,202.93
train_5,2.8,552.71,248.86,213.3,201.45
train_5,2.84,553.06,248.99,215.53,201.76
train_5,2.88,553.79,249.28,214.26,202.37
train_5,2.92,552.99,250.01,216.47,201.5
train_5,2.96,551.97,250.83,216.16,201.98
train_5,3,553.39,250.32,214.6,202.05
train_5,3.04,554.11,251.4,212.42,202.49
train_5,3.08,553.58,252.75,214.59,201.07
train_5,3.12,553.08,252.21,214.79,201.7
train_5,3.16,553.7,253.05,213.54,200.09
train_5,3.2,552.02,252.26,216.55,203.3
train_5,3.24,553.97,252.37,213.21,201.51
train_5,3.28,553.84,253.99,213.63,200.26
train_5,3.32,553.8,254.53,212.76,201.72
train_5,3.36,553.21,256.15,215.32,201.27
train_5,3.4,552.4,256.63,218.35,202.24
train_5,3.44,550.74,258.36,220.6,203.14
train_5,3.48,551.27,259.51,220.43,203.28
train_5,3.52,551.36,260.76,221.35,202.38
train_5,3.56,553.05,265,217.22,203.05
train_5,3.6,555.55,282.02,217.73,199.09
train_5,3.64,556.08,292.07,214.12,198.41
train_5,3.68,557.25,297.53,218.1,198.28
train_5,3.72,559.79,303.37,216.09,197.22
train_5,3.76,563.84,309.9,216.31,197.4
train_5,3.8,565.46,312,218.55,198.02
train_5,3.84,566.55,312.79,217.94,202.44
train_5,3.88,568.66,316.47,218.31,202.22
train_5,3.92,570.06,317.9,219.38,200.99
train_5,3.96,572.06,320.21,219.27,202.79
