@relation FACE_BOUNDING_BOX

@attribute Instance_name string
@attribute frameTime numeric
@attribute top_left_X_coordinate numeric
@attribute top-left-Y-coordinate numeric
@attribute width numeric
@attribute height numeric


@data

train_6,0,592.42,285.13,182.81,179.9
train_6,0.04,588.92,283.4,190.35,184.03
train_6,0.08,591.19,283.83,186.69,184.02
train_6,0.12,590.87,283.41,187.37,183.7
train_6,0.16,592.06,284.2,188.8,183.4
train_6,0.2,591.74,284.53,187.59,183.17
train_6,0.24,591.89,284.75,189.75,182.66
train_6,0.28,592.54,284.43,187.81,181.78
train_6,0.32,593.29,285.26,188.03,181.52
train_6,0.36,593.8,285.75,188.33,180.22
train_6,0.4,594.72,285.29,187.69,181.83
train_6,0.44,591.96,285.58,190.64,180.35
train_6,0.48,592.83,286.28,188.98,180.67
train_6,0.52,593.11,286.62,189.13,179.85
train_6,0.56,593.22,286.92,188.66,179.52
train_6,0.6,594.88,286.3,188.82,181.01
train_6,0.64,595.93,287.43,189.37,180.07
train_6,0.68,596.34,287.3,188.78,180.86
train_6,0.72,596.87,287.31,190.6,180.48
train_6,0.76,597.08,287.66,191.67,183.06
train_6,0.8,597.13,287.56,189.98,182.77
train_6,0.84,598.28,286.83,189.11,183.95
train_6,0.88,598.54,283.88,190.17,185.98
train_6,0.92,598.29,282.78,187.24,184.27
train_6,0.96,598.51,281.56,188.24,186.52
train_6,1,598.27,280.59,186.86,190.06
train_6,1.04,598.5,281.69,187.27,191.66
train_6,1.08,598.22,283.74,187.75,189.95
train_6,1.12,598.13,287.22,186.17,188.89
train_6,1.16,595.19,291.53,188.67,186.16
train_6,1.2,591.96,295.9,191.85,188.24
train_6,1.24,588.82,300.74,192.16,191.31
train_6,1.28,576.7,312.91,198.54,202.49
train_6,1.32,571.2,317.86,204.59,213.91
train_6,1.36,568.44,326.81,207.48,219.61
train_6,1.4,564.7,333.84,210.62,221.83
train_6,1.44,564.37,340.87,210.25,220.26
train_6,1.48,562.79,341.09,212.91,219.33
train_6,1.52,563.06,346.24,210.87,218.99
train_6,1.56,561.35,347.13,211.4,221.36
train_6,1.6,559.97,347.68,212.81,221.83
train_6,1.64,561.3,349.04,210.34,221.9
train_6,1.68,561.11,349.54,211.16,218.94
train_6,1.72,561.03,348.65,213.11,218.03
train_6,1.76,563.2,348.82,210.24,217.22
train_6,1.8,562.33,348.86,213.13,215.23
train_6,1.84,562.86,346.79,213.99,215.57
train_6,1.88,563.25,346.99,214.2,214.64
