@relation FACE_BOUNDING_BOX

@attribute Instance_name string
@attribute frameTime numeric
@attribute top_left_X_coordinate numeric
@attribute top-left-Y-coordinate numeric
@attribute width numeric
@attribute height numeric


@data

train_3,0,494.71,198.82,203.75,193.05
train_3,0.04,493.35,197.74,211.89,196.2
train_3,0.08,492.28,198.13,212.52,196.27
train_3,0.12,492.33,198.02,212.19,196.98
train_3,0.16,492.84,197.94,208.92,197.86
train_3,0.2,493.23,198.17,205.04,197.14
train_3,0.24,491.6,199.22,194.39,194.08
train_3,0.28,487.6,199.79,188,194.61
train_3,0.32,472.9,200.29,188.1,195.55
train_3,0.36,451.73,207.09,180.22,198.62
train_3,0.4,449.15,208.11,159.74,200.89
train_3,0.44,446.56,209.63,152.98,198.64
train_3,0.48,443.2,208.77,152.31,200.14
train_3,0.52,449.53,204.79,160.41,201.2
train_3,0.56,455.14,197.22,173.1,207
train_3,0.6,465.29,191.82,181.38,203.53
train_3,0.64,473.87,187.25,192.28,203.37
train_3,0.68,479.8,183.34,204.86,199.63
train_3,0.72,484.94,179.46,212.34,200.1
train_3,0.76,494.68,179.72,217.66,198.71
train_3,0.8,497.4,178.86,217.84,199.15
train_3,0.84,498.39,177.84,220.96,198.7
train_3,0.88,501.63,179.11,220.09,198.43
train_3,0.92,501.9,178.67,220.39,198.65
train_3,0.96,502.98,180.33,219.15,197.17
train_3,1,501.21,179.06,224.17,198.51
train_3,1.04,501.82,178.77,222.18,198.51
train_3,1.08,501.5,179.1,224.93,197.31
train_3,1.12,502.47,180.29,223.59,197.25
train_3,1.16,503.77,180.33,223.07,197.65
train_3,1.2,502.29,181.04,223.72,197.59
train_3,1.24,501.49,180.26,224.96,196.77
train_3,1.28,503.04,181.02,224.91,197.23
train_3,1.32,502,180.31,224.72,198.07
train_3,1.36,500.18,181.16,225.45,196.69
train_3,1.4,499.71,181.58,225.37,197.46
train_3,1.44,501.43,181.02,223.76,199.4
train_3,1.48,501.13,181.11,222.47,197.72
train_3,1.52,502,181.56,220.69,199.71
train_3,1.56,499.72,181.51,224.06,198
train_3,1.6,498.09,182.52,226.48,196.37
train_3,1.64,500.75,182.49,221.41,196.51
train_3,1.68,498.82,182.47,226.55,192.19
train_3,1.72,499.96,182.8,227.36,189.13
train_3,1.76,503.84,182.42,222.4,189.22
train_3,1.8,507.11,180,224.82,190.04
train_3,1.84,526.85,176.39,226.82,190.31
train_3,1.88,534.22,175.59,232.46,189.11
train_3,1.92,541.39,173.68,232.69,188.59
train_3,1.96,552.47,172.34,230.77,191.68
train_3,2,567.94,170.47,230.08,189.73
train_3,2.04,577.43,169.81,229.43,190.44
train_3,2.08,587.13,168.41,230.17,193.88
train_3,2.12,591.23,168.51,234.45,197.92
